Actual,Predicted
40,46.73837923550174
81,80.10128022987385
68,62.438567938735666
65,45.75711744154961
57,64.4010915266399
95,78.1387566419696
53,55.56973538107082
86,61.457306144783544
84,86.97011278753868
49,55.56973538107082
100,85.00758919963445
81,78.1387566419696
22,15.338001829033871
44,48.700902823405976
71,60.47604435083142
87,87.9513745814908
75,64.4010915266399
94,92.8576835512514
63,65.38235332059203
60,80.10128022987385
62,62.438567938735666
80,79.12001843592172
21,26.131881562507196
87,63.41982973268779
81,90.89515996334717
58,50.66342641131022
70,74.2137094661611
68,73.23244767220899
73,72.25118587825688
0,12.394216447177508
80,89.91389816939505
74,72.25118587825688
19,19.263049004842355
79,86.97011278753868
67,61.457306144783544
78,74.2137094661611
59,69.3074004964005
87,92.8576835512514
59,52.625949999214455
44,48.700902823405976
82,74.2137094661611
36,32.01945232621992
38,53.60721179316658
78,74.2137094661611
51,57.532258968975064
88,86.97011278753868
79,79.12001843592172
78,84.02632740568232
55,50.66342641131022
82,86.97011278753868
81,74.2137094661611
26,30.056928738315683
52,46.73837923550174
67,67.34487690849627
63,63.41982973268779
65,64.4010915266399
73,68.32613870244839
93,94.82020713915566
70,64.4010915266399
60,54.5884735871187
83,93.83894534520354
66,69.3074004964005
72,79.12001843592172
77,67.34487690849627
85,82.06380381777808
60,57.532258968975064
76,61.457306144783544
87,89.91389816939505
60,80.10128022987385
84,84.02632740568232
56,56.55099717502294
85,85.00758919963445
29,36.92576129598053
34,39.869546677836894
86,82.06380381777808
83,83.0450656117302
51,60.47604435083142
59,62.438567938735666
69,50.66342641131022
71,81.08254202382597
69,71.26992408430476
85,92.8576835512514
49,63.41982973268779
75,79.12001843592172
53,60.47604435083142
77,85.00758919963445
59,49.6821646173581
50,49.6821646173581
96,98.74525431496414
85,90.89515996334717
69,68.32613870244839
73,63.41982973268779
60,61.457306144783544
67,69.3074004964005
46,40.85080847178901
72,81.08254202382597
79,74.2137094661611
67,73.23244767220899
99,88.93263637544294
85,84.02632740568232
56,47.719641029453854
53,55.56973538107082
81,84.02632740568232
63,53.60721179316658
75,73.23244767220899
79,77.15749484801748
70,66.36361511454416
85,79.12001843592172
63,60.47604435083142
68,72.25118587825688
71,64.4010915266399
38,27.113143356459318
81,86.97011278753868
80,78.1387566419696
81,87.9513745814908
79,68.32613870244839
68,61.457306144783544
66,60.47604435083142
60,80.10128022987385
73,77.15749484801748
32,45.75711744154961
34,31.0381905322678
58,56.55099717502294
84,76.17623305406536
96,97.76399252101203
81,79.12001843592172
79,85.00758919963445
90,85.98885099358657
60,54.5884735871187
58,67.34487690849627
77,74.2137094661611
81,71.26992408430476
37,35.94449950202841
40,46.73837923550174
75,76.17623305406536
60,80.10128022987385
60,50.66342641131022
46,50.66342641131022
90,88.93263637544294
69,60.47604435083142
66,61.457306144783544
82,83.0450656117302
79,80.10128022987385
83,76.17623305406536
84,60.47604435083142
79,73.23244767220899
85,82.06380381777808
33,41.83207026574113
8,15.338001829033871
75,63.41982973268779
95,94.82020713915566
71,73.23244767220899
93,97.76399252101203
38,40.85080847178901
91,85.98885099358657
45,52.625949999214455
41,43.794593853645374
78,71.26992408430476
44,51.64468820526234
89,86.97011278753868
82,71.26992408430476
58,47.719641029453854
64,56.55099717502294
99,75.19497126011323
85,86.97011278753868
81,89.91389816939505
42,55.56973538107082
93,84.02632740568232
76,76.17623305406536
54,54.5884735871187
16,25.150619768555078
72,68.32613870244839
72,64.4010915266399
93,77.15749484801748
56,46.73837923550174
76,59.49478255687931
83,91.87642175729928
83,71.26992408430476
88,95.80146893310777
84,91.87642175729928
90,86.97011278753868
58,56.55099717502294
92,91.87642175729928
42,33.00071412017204
90,78.1387566419696
95,92.8576835512514
82,74.2137094661611
68,65.38235332059203
46,49.6821646173581
75,70.28866229035263
83,78.1387566419696
82,79.12001843592172
40,49.6821646173581
83,75.19497126011323
50,54.5884735871187
47,55.56973538107082
41,43.794593853645374
88,88.93263637544294
71,59.49478255687931
48,49.6821646173581
45,47.719641029453854
72,65.38235332059203
84,84.02632740568232
73,75.19497126011323
57,60.47604435083142
107,92.8576835512514
73,72.25118587825688
49,40.85080847178901
32,32.01945232621992
84,76.17623305406536
78,79.12001843592172
82,85.00758919963445
87,85.00758919963445
66,70.28866229035263
69,63.41982973268779
77,76.17623305406536
79,87.9513745814908
91,92.8576835512514
65,66.36361511454416
7,11.412954653225388
56,68.32613870244839
75,82.06380381777808
86,85.98885099358657
32,37.90702308993265
83,79.12001843592172
80,79.12001843592172
62,55.56973538107082
89,90.89515996334717
92,91.87642175729928
75,75.19497126011323
69,74.2137094661611
33,40.85080847178901
44,49.6821646173581
91,98.74525431496414
61,72.25118587825688
89,87.9513745814908
72,62.438567938735666
35,42.81333205969325
85,91.87642175729928
74,65.38235332059203
10,18.281787210890233
52,58.513520762927186
84,80.10128022987385
56,61.457306144783544
64,59.49478255687931
22,32.01945232621992
51,54.5884735871187
68,57.532258968975064
