MONTH,AVG
Jan 16,8.85
Feb 16,8.58
Mar 16,10.49
Apr 16,16.75
May 16,13.73
Jun 16,14.93
Jul 16,14.02
Aug 16,7.43
Sep 16,16.95
Oct 16,24.78
Nov 16,13.48
Dec 16,24.95
Jan 17,16.58
Feb 17,13.74
Mar 1617,9.94
Apr 17,10.87
May 17,8.39
Jun 17,8.76
Jul 17,17.11
Aug 17,14
Sep 17,15.15
Oct 17,14.89
Nov 17,12.42
Dec 17,19.36
Jan 18,21.24
Feb 18,16.57
Mar 1618,20.84
Apr 18,17.28
May 18,11.89
Jun 18,12.17
Jul 18,19.51
Aug 18,16.54
Sep 18,9.31
Oct 18,9.04
Nov 18,5.8
Dec 18,7.26
